Variant Grouping,_Identifier,Lineage Grouped,%CT Count of Sample #,Collection (week)
Other,Other,B.1,0.032,2020-08-02
Other,Other,B.1,0.019,2020-08-09
Other,Other,B.1,0.014,2020-08-16
Other,Other,B.1,0.034,2020-08-23
Other,Other,B.1,0.011,2020-08-30
Other,Other,B.1,0.009,2020-09-06
Other,Other,B.1,0.004,2020-09-13
Other,Other,B.1,0.009,2020-09-20
Other,Other,B.1,0.009,2020-09-27
Other,Other,B.1,0.011,2020-10-04
Other,Other,B.1,0.008,2020-10-11
Other,Other,B.1,0.02,2020-10-18
Other,Other,B.1,0.006,2020-10-25
Other,Other,B.1,0.009,2020-11-01
Other,Other,B.1,0.011,2020-11-08
Other,Other,B.1,0.011,2020-11-15
Other,Other,B.1,0.015,2020-11-22
Other,Other,B.1,0.006,2020-11-29
Other,Other,B.1,0.012,2020-12-06
Other,Other,B.1,0.037,2020-12-13
Other,Other,B.1,0.029,2020-12-20
Other,Other,B.1,0.031,2020-12-27
Other,Other,B.1,0.042,2021-01-03
Other,Other,B.1,0.075,2021-01-10
Other,Other,B.1,0.042,2021-01-17
Other,Other,B.1,0.055,2021-01-24
Other,Other,B.1,0.062,2021-01-31
Other,Other,B.1,0.051,2021-02-07
Other,Other,B.1,0.038,2021-02-14
Other,Other,B.1,0.043,2021-02-21
Other,Other,B.1,0.029,2021-02-28
Other,Other,B.1,0.027,2021-03-07
Other,Other,B.1,0.012,2021-03-14
Other,Other,B.1,0.01,2021-03-21
Other,Other,B.1,0.006,2021-03-28
Other,Other,B.1,0.006,2021-04-04
Other,Other,B.1,0.005,2021-04-11
Other,Other,B.1,0.003,2021-04-18
Other,Other,B.1,0.002,2021-04-25
Other,Other,B.1,0.003,2021-05-02
Other,Other,B.1,0.001,2021-05-09
Other,Other,B.1,0.002,2021-05-16
Other,Other,B.1,0.001,2021-05-23
Other,Other,B.1,0,2021-05-30
Other,Other,B.1,0,2021-06-06
Other,Other,B.1,0,2021-06-20
Other,Other,B.1,0.001,2021-07-04
Other,Other,B.1,0,2021-07-18
Other,Other,B.1,0,2021-08-15
Other,Other,B.1,0,2021-08-22
Other,Other,B.1,0,2021-08-29
Other,Other,B.1,0,2021-11-28
Other,Other,B.1,0.001,2021-12-12
Other,Other,B.1,0,2021-12-19
Other,Other,B.1,0,2021-12-26
Other,Other,B.1,0,2022-01-02
Other,Other,B.1,0,2022-01-09
Other,Other,B.1.1,0.069,2019-12-29
Other,Other,B.1.1,0.135,2020-03-01
Other,Other,B.1.1,0.152,2020-03-08
Other,Other,B.1.1,0.106,2020-03-15
Other,Other,B.1.1,0.08,2020-03-22
Other,Other,B.1.1,0.074,2020-03-29
Other,Other,B.1.1,0.068,2020-04-05
Other,Other,B.1.1,0.043,2020-04-12
Other,Other,B.1.1,0.068,2020-04-19
Other,Other,B.1.1,0.122,2020-04-26
Other,Other,B.1.1,0.116,2020-05-03
Other,Other,B.1.1,0.107,2020-05-10
Other,Other,B.1.1,0.061,2020-05-17
Other,Other,B.1.1,0.116,2020-05-24
Other,Other,B.1.1,0.176,2020-05-31
Other,Other,B.1.1,0.18,2020-06-07
Other,Other,B.1.1,0.047,2020-06-14
Other,Other,B.1.1,0.136,2020-06-21
Other,Other,B.1.1,0.029,2020-06-28
Other,Other,B.1.1,0.068,2020-07-05
Other,Other,B.1.1,0.008,2020-07-12
Other,Other,B.1.1,0.025,2020-07-19
Other,Other,B.1.1,0.02,2020-07-26
Other,Other,B.1.1,0.025,2020-08-02
Other,Other,B.1.1,0.035,2020-08-09
Other,Other,B.1.1,0.037,2020-08-16
Other,Other,B.1.1,0.034,2020-08-23
Other,Other,B.1.1,0.018,2020-08-30
Other,Other,B.1.1,0.034,2020-09-06
Other,Other,B.1.1,0.004,2020-09-13
Other,Other,B.1.1,0.029,2020-09-20
Other,Other,B.1.1,0.044,2020-09-27
Other,Other,B.1.1,0.018,2020-10-04
Other,Other,B.1.1,0.014,2020-10-11
Other,Other,B.1.1,0.016,2020-10-18
Other,Other,B.1.1,0.017,2020-10-25
Other,Other,B.1.1,0.02,2020-11-01
Other,Other,B.1.1,0.023,2020-11-08
Other,Other,B.1.1,0.028,2020-11-15
Other,Other,B.1.1,0.032,2020-11-22
Other,Other,B.1.1,0.039,2020-11-29
Other,Other,B.1.1,0.027,2020-12-06
Other,Other,B.1.1,0.03,2020-12-13
Other,Other,B.1.1,0.032,2020-12-20
Other,Other,B.1.1,0.029,2020-12-27
Other,Other,B.1.1,0.034,2021-01-03
Other,Other,B.1.1,0.04,2021-01-10
Other,Other,B.1.1,0.043,2021-01-17
Other,Other,B.1.1,0.029,2021-01-24
Other,Other,B.1.1,0.023,2021-01-31
Other,Other,B.1.1,0.007,2021-02-07
Other,Other,B.1.1,0.005,2021-02-14
Other,Other,B.1.1,0.007,2021-02-21
Other,Other,B.1.1,0.003,2021-02-28
Other,Other,B.1.1,0.003,2021-03-07
Other,Other,B.1.1,0.003,2021-03-14
Other,Other,B.1.1,0.001,2021-03-21
Other,Other,B.1.1,0.001,2021-03-28
Other,Other,B.1.1,0.002,2021-04-04
Other,Other,B.1.1,0.001,2021-04-11
Other,Other,B.1.1,0,2021-04-18
Other,Other,B.1.1,0.001,2021-04-25
Other,Other,B.1.1,0,2021-05-02
Other,Other,B.1.1,0,2021-05-09
Other,Other,B.1.1,0,2021-05-16
Other,Other,B.1.1,0,2021-05-23
Other,Other,B.1.1,0.002,2021-05-30
Other,Other,B.1.1,0,2021-06-06
Other,Other,B.1.1,0.001,2021-06-13
Other,Other,B.1.1,0.001,2021-06-20
Other,Other,B.1.1,0.001,2021-10-31
Other,Other,B.1.1.1,0.007,2020-03-15
Other,Other,B.1.1.1,0.003,2020-03-22
Other,Other,B.1.1.1,0.002,2020-03-29
Other,Other,B.1.1.1,0.007,2020-04-12
Other,Other,B.1.1.1,0.006,2020-04-19
Other,Other,B.1.1.1,0.001,2020-04-26
Other,Other,B.1.1.1,0.003,2020-05-03
Other,Other,B.1.1.1,0.003,2020-05-17
Other,Other,B.1.1.1,0.006,2020-05-24
Other,Other,B.1.1.1,0.005,2020-05-31
Other,Other,B.1.1.1,0.005,2020-06-07
Other,Other,B.1.1.1,0.005,2020-06-14
Other,Other,B.1.1.1,0.011,2020-06-21
Other,Other,B.1.1.1,0.005,2020-06-28
Other,Other,B.1.1.1,0.005,2020-07-19
Other,Other,B.1.1.1,0.003,2020-08-16
Other,Other,B.1.1.1,0.005,2020-08-30
Other,Other,B.1.1.1,0.015,2020-09-27
Other,Other,B.1.1.1,0.02,2020-10-04
Other,Other,B.1.1.1,0.006,2020-10-11
Other,Other,B.1.1.1,0.006,2020-10-18
Other,Other,B.1.1.1,0.008,2020-10-25
Other,Other,B.1.1.1,0.004,2020-11-01
Other,Other,B.1.1.1,0.01,2020-11-08
Other,Other,B.1.1.1,0.005,2020-11-15
Other,Other,B.1.1.1,0.005,2020-11-22
Other,Other,B.1.1.1,0.003,2020-11-29
Other,Other,B.1.1.1,0.001,2020-12-06
Other,Other,B.1.1.1,0.001,2020-12-13
Other,Other,B.1.1.1,0.001,2020-12-20
Other,Other,B.1.1.1,0.001,2020-12-27
Other,Other,B.1.1.1,0,2021-01-03
Other,Other,B.1.1.1,0,2021-01-10
Other,Other,B.1.1.1,0,2021-01-17
Other,Other,B.1.1.1,0,2021-01-24
Other,Other,B.1.1.1,0,2021-02-14
Other,Other,B.1.1.1,0,2021-02-21
Other,Other,B.1.1.1,0.001,2021-03-07
Other,Other,B.1.1.10,0.009,2020-03-01
Other,Other,B.1.1.10,0.007,2020-03-08
Other,Other,B.1.1.10,0.005,2020-03-15
Other,Other,B.1.1.10,0.011,2020-03-22
Other,Other,B.1.1.10,0.007,2020-03-29
Other,Other,B.1.1.10,0.003,2020-04-05
Other,Other,B.1.1.10,0.002,2020-04-12
Other,Other,B.1.1.10,0.005,2020-04-19
Other,Other,B.1.1.10,0.002,2020-05-31
Other,Other,B.1.1.10,0.001,2020-12-13
Other,Other,B.1.1.10,0,2021-01-03
Other,Other,B.1.1.10,0.001,2021-01-17
Other,Other,B.1.1.117,0,2021-04-18
Other,Other,B.1.1.118,0.005,2020-06-28
Other,Other,B.1.1.121,0.008,2019-12-29
Other,Other,B.1.1.121,0.003,2020-05-03
Other,Other,B.1.1.121,0.002,2020-05-10
Other,Other,B.1.1.121,0.008,2020-05-17
Other,Other,B.1.1.121,0.015,2020-05-24
Other,Other,B.1.1.121,0.016,2020-05-31
Other,Other,B.1.1.121,0.01,2020-06-07
Other,Other,B.1.1.121,0.014,2020-06-14
Other,Other,B.1.1.121,0.01,2020-06-28
Other,Other,B.1.1.121,0.006,2020-07-05
Other,Other,B.1.1.121,0.023,2020-07-12
Other,Other,B.1.1.121,0.03,2020-07-19
Other,Other,B.1.1.121,0.02,2020-07-26
Other,Other,B.1.1.121,0.022,2020-08-02
Other,Other,B.1.1.121,0.005,2020-08-09
Other,Other,B.1.1.121,0.02,2020-08-16
Other,Other,B.1.1.121,0.042,2020-08-23
Other,Other,B.1.1.121,0.107,2020-08-30
Other,Other,B.1.1.121,0.031,2020-09-06
Other,Other,B.1.1.121,0.038,2020-09-13
Other,Other,B.1.1.121,0.048,2020-09-20
Other,Other,B.1.1.121,0.046,2020-09-27
Other,Other,B.1.1.121,0.034,2020-10-04
Other,Other,B.1.1.121,0.028,2020-10-11
Other,Other,B.1.1.121,0.022,2020-10-18
Other,Other,B.1.1.121,0.004,2020-10-25
Other,Other,B.1.1.121,0.004,2020-11-01
Other,Other,B.1.1.121,0.01,2020-11-08
Other,Other,B.1.1.121,0.003,2020-11-15
Other,Other,B.1.1.121,0.015,2020-11-22
Other,Other,B.1.1.121,0.003,2020-11-29
Other,Other,B.1.1.121,0.003,2020-12-06
Other,Other,B.1.1.121,0.005,2020-12-13
Other,Other,B.1.1.121,0.007,2020-12-20
Other,Other,B.1.1.121,0.01,2020-12-27
Other,Other,B.1.1.121,0.002,2021-01-03
Other,Other,B.1.1.121,0.005,2021-01-10
Other,Other,B.1.1.121,0.003,2021-01-17
Other,Other,B.1.1.121,0.004,2021-01-24
Other,Other,B.1.1.121,0.001,2021-01-31
Other,Other,B.1.1.133,0.001,2020-03-22
Other,Other,B.1.1.133,0.001,2020-03-29
Other,Other,B.1.1.135,0.005,2020-07-19
Other,Other,B.1.1.135,0.001,2020-10-18
Other,Other,B.1.1.139,0,2021-01-03
Other,Other,B.1.1.139,0,2021-01-24
Other,Other,B.1.1.141,0.001,2020-10-11
Other,Other,B.1.1.153,0.001,2020-12-13
Other,Other,B.1.1.157,0.054,2019-12-29
Other,Other,B.1.1.157,0.001,2020-04-26
Other,Other,B.1.1.157,0.003,2020-05-17
Other,Other,B.1.1.157,0.019,2020-06-14
Other,Other,B.1.1.157,0.046,2020-06-21
Other,Other,B.1.1.157,0.093,2020-06-28
Other,Other,B.1.1.157,0.167,2020-07-05
Other,Other,B.1.1.157,0.105,2020-07-12
Other,Other,B.1.1.157,0.149,2020-07-19
Other,Other,B.1.1.157,0.134,2020-07-26
Other,Other,B.1.1.157,0.191,2020-08-02
Other,Other,B.1.1.157,0.04,2020-08-09
Other,Other,B.1.1.157,0.076,2020-08-16
Other,Other,B.1.1.157,0.082,2020-08-23
Other,Other,B.1.1.157,0.163,2020-08-30
Other,Other,B.1.1.157,0.076,2020-09-06
Other,Other,B.1.1.157,0.05,2020-09-13
Other,Other,B.1.1.157,0.079,2020-09-20
Other,Other,B.1.1.157,0.102,2020-09-27
Other,Other,B.1.1.157,0.13,2020-10-04
Other,Other,B.1.1.157,0.119,2020-10-11
Other,Other,B.1.1.157,0.057,2020-10-18
Other,Other,B.1.1.157,0.019,2020-10-25
Other,Other,B.1.1.157,0.022,2020-11-01
Other,Other,B.1.1.157,0.032,2020-11-08
Other,Other,B.1.1.157,0.05,2020-11-15
Other,Other,B.1.1.157,0.082,2020-11-22
Other,Other,B.1.1.157,0.04,2020-11-29
Other,Other,B.1.1.157,0.018,2020-12-06
Other,Other,B.1.1.157,0.007,2020-12-13
Other,Other,B.1.1.157,0.01,2020-12-20
Other,Other,B.1.1.157,0.008,2020-12-27
Other,Other,B.1.1.157,0.01,2021-01-03
Other,Other,B.1.1.157,0.007,2021-01-10
Other,Other,B.1.1.157,0.008,2021-01-17
Other,Other,B.1.1.157,0.004,2021-01-24
Other,Other,B.1.1.157,0.006,2021-01-31
Other,Other,B.1.1.157,0.004,2021-02-07
Other,Other,B.1.1.157,0.004,2021-02-14
Other,Other,B.1.1.157,0.004,2021-02-21
Other,Other,B.1.1.157,0.002,2021-02-28
Other,Other,B.1.1.157,0.003,2021-03-07
Other,Other,B.1.1.157,0.002,2021-03-14
Other,Other,B.1.1.157,0.001,2021-03-21
Other,Other,B.1.1.157,0.001,2021-03-28
Other,Other,B.1.1.157,0,2021-04-11
Other,Other,B.1.1.157,0,2021-05-09
Other,Other,B.1.1.157,0,2021-06-20
Other,Other,B.1.1.157,0,2022-01-02
Other,Other,B.1.1.159,0.004,2020-10-04
Other,Other,B.1.1.159,0.001,2020-12-06
Other,Other,B.1.1.161,0.001,2020-03-29
Other,Other,B.1.1.161,0.001,2020-04-05
Other,Other,B.1.1.161,0.002,2020-10-11
Other,Other,B.1.1.161,0.001,2020-10-25
Other,Other,B.1.1.161,0.001,2020-11-22
Other,Other,B.1.1.161,0.001,2020-12-20
Other,Other,B.1.1.161,0.001,2021-01-10
Other,Other,B.1.1.161,0.001,2021-01-17
Other,Other,B.1.1.161,0,2021-03-21
Other,Other,B.1.1.161,0,2021-04-25
Other,Other,B.1.1.161,0,2021-05-30
Other,Other,B.1.1.161,0,2021-12-05
Other,Other,B.1.1.163,0.002,2020-09-27
Other,Other,B.1.1.164,0.002,2020-05-31
Other,Other,B.1.1.164,0.01,2020-06-28
Other,Other,B.1.1.164,0.03,2020-07-12
Other,Other,B.1.1.170,0,2021-01-03
Other,Other,B.1.1.171,0.001,2020-03-22
Other,Other,B.1.1.171,0.001,2020-12-13
Other,Other,B.1.1.174,0.001,2020-10-11
Other,Other,B.1.1.174,0.001,2020-11-15
Other,Other,B.1.1.174,0.001,2020-12-20
Other,Other,B.1.1.174,0,2022-01-02
Other,Other,B.1.1.176,0.04,2020-03-08
Other,Other,B.1.1.176,0.028,2020-03-15
Other,Other,B.1.1.176,0.053,2020-03-22
Other,Other,B.1.1.176,0.045,2020-03-29
Other,Other,B.1.1.176,0.046,2020-04-05
Other,Other,B.1.1.176,0.025,2020-04-12
Other,Other,B.1.1.176,0.008,2020-04-19
Other,Other,B.1.1.176,0.017,2020-04-26
Other,Other,B.1.1.176,0.047,2020-05-03
Other,Other,B.1.1.176,0.026,2020-05-10
Other,Other,B.1.1.176,0.053,2020-05-17
Other,Other,B.1.1.176,0.046,2020-05-24
Other,Other,B.1.1.176,0.009,2020-05-31
Other,Other,B.1.1.176,0.043,2020-06-07
Other,Other,B.1.1.176,0.099,2020-06-14
Other,Other,B.1.1.176,0.023,2020-06-21
Other,Other,B.1.1.176,0.005,2020-06-28
Other,Other,B.1.1.176,0.025,2020-07-05
Other,Other,B.1.1.176,0.015,2020-07-12
Other,Other,B.1.1.176,0.005,2020-07-19
Other,Other,B.1.1.176,0.025,2020-07-26
Other,Other,B.1.1.176,0.115,2020-08-02
Other,Other,B.1.1.176,0.046,2020-08-09
Other,Other,B.1.1.176,0.02,2020-08-16
Other,Other,B.1.1.176,0.038,2020-08-23
Other,Other,B.1.1.176,0.029,2020-08-30
Other,Other,B.1.1.176,0.012,2020-09-06
Other,Other,B.1.1.176,0.004,2020-09-13
Other,Other,B.1.1.176,0.014,2020-09-20
Other,Other,B.1.1.176,0.023,2020-09-27
Other,Other,B.1.1.176,0.096,2020-10-04
Other,Other,B.1.1.176,0.09,2020-10-11
Other,Other,B.1.1.176,0.031,2020-10-18
Other,Other,B.1.1.176,0.013,2020-10-25
Other,Other,B.1.1.176,0.018,2020-11-01
Other,Other,B.1.1.176,0.045,2020-11-08
Other,Other,B.1.1.176,0.031,2020-11-15
Other,Other,B.1.1.176,0.045,2020-11-22
Other,Other,B.1.1.176,0.055,2020-11-29
Other,Other,B.1.1.176,0.072,2020-12-06
Other,Other,B.1.1.176,0.09,2020-12-13
Other,Other,B.1.1.176,0.085,2020-12-20
Other,Other,B.1.1.176,0.111,2020-12-27
Other,Other,B.1.1.176,0.092,2021-01-03
Other,Other,B.1.1.176,0.086,2021-01-10
Other,Other,B.1.1.176,0.061,2021-01-17
Other,Other,B.1.1.176,0.059,2021-01-24
Other,Other,B.1.1.176,0.046,2021-01-31
Other,Other,B.1.1.176,0.028,2021-02-07
Other,Other,B.1.1.176,0.019,2021-02-14
Other,Other,B.1.1.176,0.01,2021-02-21
Other,Other,B.1.1.176,0.006,2021-02-28
Other,Other,B.1.1.176,0.004,2021-03-07
Other,Other,B.1.1.176,0.002,2021-03-14
Other,Other,B.1.1.176,0.001,2021-03-21
Other,Other,B.1.1.176,0.001,2021-03-28
Other,Other,B.1.1.176,0.001,2021-04-04
Other,Other,B.1.1.176,0,2021-04-18
Other,Other,B.1.1.176,0,2021-05-02
Other,Other,B.1.1.176,0,2021-05-30
Other,Other,B.1.1.176,0.001,2021-07-04
Other,Other,B.1.1.176,0,2022-01-02
Other,Other,B.1.1.181,0.002,2020-03-22
Other,Other,B.1.1.181,0.002,2020-03-29
Other,Other,B.1.1.181,0.012,2020-04-05
Other,Other,B.1.1.181,0.015,2020-04-12
Other,Other,B.1.1.181,0.001,2020-04-19
Other,Other,B.1.1.181,0.003,2020-04-26
Other,Other,B.1.1.181,0.008,2020-05-03
Other,Other,B.1.1.181,0.025,2020-05-10
Other,Other,B.1.1.181,0.038,2020-05-17
Other,Other,B.1.1.181,0.082,2020-05-24
Other,Other,B.1.1.181,0.138,2020-05-31
Other,Other,B.1.1.181,0.019,2020-06-07
Other,Other,B.1.1.181,0.028,2020-06-14
Other,Other,B.1.1.181,0.024,2020-06-28
Other,Other,B.1.1.181,0.008,2020-07-12
Other,Other,B.1.1.186,0.001,2020-11-29
Other,Other,B.1.1.186,0,2021-02-07
Other,Other,B.1.1.189,0.011,2020-08-30
Other,Other,B.1.1.189,0.002,2020-09-13
Other,Other,B.1.1.189,0.002,2020-09-20
Other,Other,B.1.1.189,0.003,2020-09-27
Other,Other,B.1.1.189,0.003,2020-10-25
Other,Other,B.1.1.192,0.003,2020-08-09
Other,Other,B.1.1.192,0.002,2020-09-27
Other,Other,B.1.1.192,0.001,2020-11-01
Other,Other,B.1.1.192,0.002,2020-11-15
Other,Other,B.1.1.192,0.001,2020-11-22
Other,Other,B.1.1.192,0.003,2020-11-29
Other,Other,B.1.1.192,0.008,2020-12-06
Other,Other,B.1.1.192,0.011,2020-12-13
Other,Other,B.1.1.192,0.011,2020-12-20
Other,Other,B.1.1.192,0.007,2020-12-27
Other,Other,B.1.1.192,0.005,2021-01-03
Other,Other,B.1.1.192,0.007,2021-01-10
Other,Other,B.1.1.192,0.009,2021-01-17
Other,Other,B.1.1.192,0.011,2021-01-24
Other,Other,B.1.1.192,0.002,2021-01-31
Other,Other,B.1.1.192,0.005,2021-02-07
Other,Other,B.1.1.192,0.002,2021-02-14
Other,Other,B.1.1.192,0.002,2021-02-21
Other,Other,B.1.1.192,0.006,2021-02-28
Other,Other,B.1.1.192,0.002,2021-03-07
Other,Other,B.1.1.192,0,2021-03-14
Other,Other,B.1.1.202,0.001,2020-03-22
Other,Other,B.1.1.210,0.001,2020-03-22
Other,Other,B.1.1.216,0.008,2019-12-29
Other,Other,B.1.1.216,0.003,2020-08-16
Other,Other,B.1.1.216,0.003,2020-08-30
Other,Other,B.1.1.216,0.003,2020-09-06
Other,Other,B.1.1.216,0.003,2020-09-20
Other,Other,B.1.1.216,0.002,2020-09-27
Other,Other,B.1.1.216,0.004,2020-10-04
Other,Other,B.1.1.216,0.006,2020-10-11
Other,Other,B.1.1.216,0.001,2020-10-25
Other,Other,B.1.1.216,0.001,2020-11-01
Other,Other,B.1.1.216,0.001,2020-11-08
Other,Other,B.1.1.216,0.002,2020-11-15
Other,Other,B.1.1.216,0.002,2020-11-29
Other,Other,B.1.1.216,0.001,2020-12-13
Other,Other,B.1.1.216,0.002,2020-12-20
Other,Other,B.1.1.216,0.001,2020-12-27
Other,Other,B.1.1.216,0.001,2021-01-17
Other,Other,B.1.1.216,0,2021-01-24
Other,Other,B.1.1.216,0,2021-02-28
Other,Other,B.1.1.216,0,2021-03-21
Other,Other,B.1.1.216,0,2021-04-04
Other,Other,B.1.1.218,0.003,2020-08-09
Other,Other,B.1.1.222,0.001,2020-03-29
Other,Other,B.1.1.222,0.021,2020-05-24
Other,Other,B.1.1.222,0.002,2020-05-31
Other,Other,B.1.1.222,0.19,2020-06-07
Other,Other,B.1.1.222,0.103,2020-06-14
Other,Other,B.1.1.222,0.107,2020-06-28
Other,Other,B.1.1.222,0.031,2020-07-05
Other,Other,B.1.1.222,0.008,2020-07-12
Other,Other,B.1.1.222,0.04,2020-07-19
Other,Other,B.1.1.222,0.005,2020-07-26
Other,Other,B.1.1.222,0.001,2020-11-22
Other,Other,B.1.1.222,0.001,2020-12-13
Other,Other,B.1.1.222,0.002,2020-12-20
Other,Other,B.1.1.222,0.001,2021-01-03
Other,Other,B.1.1.222,0.003,2021-01-10
Other,Other,B.1.1.222,0.001,2021-01-17
Other,Other,B.1.1.222,0,2021-01-24
Other,Other,B.1.1.222,0,2021-02-07
Other,Other,B.1.1.222,0,2021-02-14
Other,Other,B.1.1.222,0,2021-02-21
Other,Other,B.1.1.222,0.001,2021-03-07
Other,Other,B.1.1.222,0,2021-03-14
Other,Other,B.1.1.222,0,2021-04-18
Other,Other,B.1.1.222,0,2021-04-25
Other,Other,B.1.1.222,0,2021-05-02
Other,Other,B.1.1.225,0.005,2020-06-28
Other,Other,B.1.1.231,0,2021-01-03
Other,Other,B.1.1.231,0.001,2021-01-10
Other,Other,B.1.1.231,0,2021-01-17
Other,Other,B.1.1.231,0,2021-01-24
Other,Other,B.1.1.231,0,2021-02-07
Other,Other,B.1.1.241,0.001,2020-11-01
Other,Other,B.1.1.244,0.001,2020-03-15
Other,Other,B.1.1.244,0.001,2020-03-22
Other,Other,B.1.1.244,0.002,2020-08-30
Other,Other,B.1.1.244,0,2021-02-07
Other,Other,B.1.1.25,0.002,2020-05-31
Other,Other,B.1.1.25,0.014,2020-09-27
Other,Other,B.1.1.25,0.02,2020-10-04
Other,Other,B.1.1.25,0.022,2020-10-11
Other,Other,B.1.1.25,0.006,2020-10-18
Other,Other,B.1.1.25,0.021,2020-10-25
Other,Other,B.1.1.25,0.003,2020-11-01
Other,Other,B.1.1.25,0.007,2020-11-08
Other,Other,B.1.1.25,0.029,2020-11-15
Other,Other,B.1.1.25,0.005,2020-11-22
Other,Other,B.1.1.25,0.017,2020-11-29
Other,Other,B.1.1.25,0.018,2020-12-06
Other,Other,B.1.1.25,0.016,2020-12-13
Other,Other,B.1.1.25,0.026,2020-12-20
Other,Other,B.1.1.25,0.033,2020-12-27
Other,Other,B.1.1.25,0.035,2021-01-03
Other,Other,B.1.1.25,0.025,2021-01-10
Other,Other,B.1.1.25,0.019,2021-01-17
Other,Other,B.1.1.25,0.006,2021-01-24
Other,Other,B.1.1.25,0.007,2021-01-31
Other,Other,B.1.1.25,0.001,2021-02-07
Other,Other,B.1.1.25,0.001,2021-02-14
Other,Other,B.1.1.25,0,2021-02-28
Other,Other,B.1.1.25,0,2021-03-14
Other,Other,B.1.1.263,0.004,2020-08-02
Other,Other,B.1.1.263,0,2021-03-28
Other,Other,B.1.1.265,0.005,2020-09-20
Other,Other,B.1.1.265,0.002,2020-11-15
Other,Other,B.1.1.272,0.008,2020-08-23
Other,Other,B.1.1.274,0.001,2021-01-03
Other,Other,B.1.1.274,0,2021-01-10
Other,Other,B.1.1.274,0,2021-01-24
Other,Other,B.1.1.274,0.001,2021-01-31
Other,Other,B.1.1.274,0,2021-02-07
Other,Other,B.1.1.274,0.001,2021-02-14
Other,Other,B.1.1.277,0.001,2020-03-22
Other,Other,B.1.1.28,0.001,2020-03-29
Other,Other,B.1.1.28,0.005,2020-06-28
Other,Other,B.1.1.28,0.002,2020-09-13
Other,Other,B.1.1.28,0.002,2020-09-20
Other,Other,B.1.1.28,0.001,2020-11-15
Other,Other,B.1.1.28,0.001,2020-12-27
Other,Other,B.1.1.28,0.001,2021-01-17
Other,Other,B.1.1.282,0,2021-01-10
Other,Other,B.1.1.286,0.002,2020-05-31
Other,Other,B.1.1.291,0.005,2020-08-09
Other,Other,B.1.1.291,0.009,2020-08-16
Other,Other,B.1.1.291,0.002,2020-08-23
Other,Other,B.1.1.291,0.003,2020-09-06
Other,Other,B.1.1.291,0.001,2020-10-18
Other,Other,B.1.1.291,0.001,2020-12-27
Other,Other,B.1.1.294,0.085,2020-06-07
Other,Other,B.1.1.294,0.113,2020-06-14
Other,Other,B.1.1.294,0.023,2020-06-21
Other,Other,B.1.1.294,0.005,2020-06-28
Other,Other,B.1.1.294,0.012,2020-07-05
Other,Other,B.1.1.294,0.001,2020-12-27
Other,Other,B.1.1.294,0,2021-01-03
Other,Other,B.1.1.294,0,2021-01-24
Other,Other,B.1.1.297,0.001,2020-11-01
Other,Other,B.1.1.305,0.006,2020-07-05
Other,Other,B.1.1.305,0.003,2020-08-09
Other,Other,B.1.1.305,0.002,2020-08-23
Other,Other,B.1.1.306,0.008,2019-12-29
Other,Other,B.1.1.306,0.005,2020-06-28
Other,Other,B.1.1.306,0.006,2020-07-05
Other,Other,B.1.1.306,0.008,2020-07-12
Other,Other,B.1.1.306,0.01,2020-07-26
Other,Other,B.1.1.306,0.007,2020-08-02
Other,Other,B.1.1.306,0.003,2020-08-09
Other,Other,B.1.1.306,0.002,2020-08-23
Other,Other,B.1.1.306,0.002,2020-08-30
Other,Other,B.1.1.306,0.003,2020-09-06
Other,Other,B.1.1.306,0.005,2020-09-20
Other,Other,B.1.1.306,0.001,2020-10-04
Other,Other,B.1.1.306,0.001,2020-10-11
Other,Other,B.1.1.306,0.001,2020-10-18
Other,Other,B.1.1.306,0.001,2020-10-25
Other,Other,B.1.1.306,0.003,2020-11-01
Other,Other,B.1.1.306,0.001,2020-11-15
Other,Other,B.1.1.306,0,2021-01-17
Other,Other,B.1.1.306,0.001,2021-01-24
Other,Other,B.1.1.306,0.001,2021-01-31
Other,Other,B.1.1.306,0,2021-02-07
Other,Other,B.1.1.306,0.001,2021-02-14
Other,Other,B.1.1.306,0,2021-02-21
Other,Other,B.1.1.306,0,2021-02-28
Other,Other,B.1.1.306,0.001,2021-03-07
Other,Other,B.1.1.306,0.001,2021-03-21
Other,Other,B.1.1.306,0,2021-03-28
Other,Other,B.1.1.309,0,2021-03-28
Other,Other,B.1.1.312,0.002,2020-11-08
Other,Other,B.1.1.312,0.001,2020-12-20
Other,Other,B.1.1.312,0,2021-01-17
Other,Other,B.1.1.315,0.001,2020-11-01
Other,Other,B.1.1.315,0.001,2020-11-15
Other,Other,B.1.1.316,0.001,2020-11-01
Other,Other,B.1.1.316,0.002,2020-11-15
Other,Other,B.1.1.316,0.001,2020-12-06
Other,Other,B.1.1.316,0.001,2020-12-13
Other,Other,B.1.1.316,0.001,2020-12-20
Other,Other,B.1.1.316,0.002,2020-12-27
Other,Other,B.1.1.316,0,2021-01-10
Other,Other,B.1.1.317,0.008,2020-08-09
Other,Other,B.1.1.317,0.002,2020-10-11
Other,Other,B.1.1.317,0.001,2020-11-01
Other,Other,B.1.1.317,0.002,2020-11-08
Other,Other,B.1.1.317,0.001,2021-01-03
Other,Other,B.1.1.317,0,2021-01-10
Other,Other,B.1.1.317,0,2021-03-21
Other,Other,B.1.1.317,0,2021-04-11
Other,Other,B.1.1.317,0,2021-04-25
